Job Catogery,Job Title,Corp,Job Location,Work Time
Banking-Jobs,Client Executive/Senior Sales – Banking,NCR Corporation -,"Cairo, Egypt",Full Time
Banking-Jobs,Sales Acquisition,Paymint -,"Cairo, Egypt",Full Time
Banking-Jobs,Chief Accounting Officer,Confidential -,"6th of October, Giza, Egypt",Full Time
Banking-Jobs,Accountant,Firoz Group -,"Nasr City, Cairo, Egypt",Full Time
Banking-Jobs,Accountant (Tourism Company),Seldar Egypt -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Senior Customer Service Agent - English Account,Etisalat Egypt -,"Maadi, Cairo, Egypt",Full Time
Banking-Jobs,Senior Charge back & fraud Officer,Areeba Egypt -,"Cairo, Egypt",Full Time
Banking-Jobs,General Accountant,Simplex -,"Nasr City, Cairo, Egypt",Full Time
Banking-Jobs,Sales Consultant,Reach Group -,"Sheraton, Cairo, Egypt",Full Time
Banking-Jobs,Sales Advisor,Reach Group -,"Maadi, Cairo, Egypt",Full Time
Banking-Jobs,Fraud Monitoring Analyst- ORA Bank - French Speaker,Network International -Egypt -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Credit Analyst,Sky Holding -,"Katameya, Cairo, Egypt",Full Time
Banking-Jobs,Call Center Agent - English Account,Etisalat Egypt -,"Maadi, Cairo, Egypt",Full Time
Banking-Jobs,Senior Accountant,ARPUPLUS -,"Cairo, Egypt",Full Time
Banking-Jobs,Treasury Accountant,Nile Wood -,"Agouza, Giza, Egypt",Full Time
Banking-Jobs,Senior Accountant,Alouf Travel -,"6th of October, Giza, Egypt",Full Time
Banking-Jobs,Banking Customer Service Executive -(Multinational),Pillars -,"Smart Village, Giza, Egypt",Full Time
Banking-Jobs,Service Desk Specialist,Tamweely -,"Shubra, Cairo, Egypt",Full Time
Banking-Jobs,Reconciliation and Settlement Senior Officer,Khales -,"Giza, Egypt",Full Time
Banking-Jobs,Learning & Development Manager,Network International -Egypt -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Accountant,KIG Konnice -,"10th of Ramadan City, Sharqia, Egypt",Full Time
Banking-Jobs,Accountant,American Academy -,"6th of October, Giza, Egypt",Full Time
Banking-Jobs,Senior Account Payable Accountant,Interact Technology Solutions -,"Maadi, Cairo, Egypt",Full Time
Banking-Jobs,Senior Accounts Receivable Accountant,Somabay -,"Hurghada, Red Sea, Egypt",Full Time
Banking-Jobs,Senior Accountant,Confidential -,"New Nozha, Cairo, Egypt",Full Time
Banking-Jobs,Accounting Supervisor,Confidential -,"New Nozha, Cairo, Egypt",Full Time
Banking-Jobs,Dip IFR Instructor,In-ACT House -,"Cairo, Egypt",Part Time
Banking-Jobs,Senior Account Receivable Accountant,National Company For Maize Products -,"10th of Ramadan City, Sharqia, Egypt",Full Time
Banking-Jobs,Senior treasury Accountant,EDECS El Dawlia for Engineering & Contracting -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,General Accountant,Alouf Travel -,"6th of October, Giza, Egypt",Full Time
Banking-Jobs,Treasury Accountant,Fawry for Banking Technology and Electronic Payments S.A.E -,"6th of October, Giza, Egypt",Full Time
Banking-Jobs,Treasury Accountant,J&T Express Egypt -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,MIS Manager,Network International -Egypt -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Financial Analyst,Leverage -,"Maadi, Cairo, Egypt",Full Time
Banking-Jobs,Credit Analyst,Rashideen Egypt for Trade  -,"Basatin, Cairo, Egypt",Full Time
Banking-Jobs,Financial Analyst,Shehab Mazhar -,"Mohandessin, Giza, Egypt",Full Time
Banking-Jobs,credit underwriter,Fawry Microfinance  -,"Maadi, Cairo, Egypt",Full Time
Banking-Jobs,Treasury Accountant,Confidential -,"Maadi, Cairo, Egypt",Full Time
Banking-Jobs,Solution Architect - KSA,Ejada  -,"Cairo, Egypt",Full Time
Banking-Jobs,Technical Project Manager,Ejada  -,"Heliopolis, Cairo, Egypt",Full Time
Banking-Jobs,Enterprise Sales Manager,Kashier Payment Solutions -,"Zamalek, Cairo, Egypt",Full Time
Banking-Jobs,Senior Accountant,Falcon Motors -,"Heliopolis, Cairo, Egypt",Full Time
Banking-Jobs,Telesales Agent,Engosoft -,"Nasr City, Cairo, Egypt",Full Time
Banking-Jobs,Senior Banking Accountant,Times Development -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Accountant (Females Only),Maxevia Corporate -,"Shubra, Cairo, Egypt",Full Time
Banking-Jobs,General Accountant,El Reefy Trading  -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Online Live Support Senior Specialist (Application Support Engineer),Network International -Egypt -,"Cairo, Egypt",Full Time
Banking-Jobs,Financial Accountant,AGF  Panel -,"Nozha, Cairo, Egypt",Full Time
Banking-Jobs,Call center team leader in assuit,Raya Customer Experience -,"New Assuit, Assiut, Egypt",Full Time
